customerID,ChurnProbability,HighRisk
3874-EQOEP,0.9,1
1679-JRFBR,0.08,0
9073-ZZIAY,0.0,0
3077-RSNTJ,0.01,0
6551-GNYDG,0.28,0
9167-APMXZ,0.13,0
2749-CTKAJ,0.0,0
6371-NZYEG,0.03,0
7554-NEWDD,0.03,0
8992-VONJD,0.09,0
0867-MKZVY,0.68,0
4482-EWFMI,0.15,0
4648-YPBTM,0.0,0
2907-ILJBN,0.02,0
6345-FZOQH,0.0,0
3376-BMGFE,0.91,1
5997-OPVFA,0.0,0
3445-HXXGF,0.81,1
1159-WFSGR,0.02,0
7654-YWJUF,0.03,0
1875-QIVME,0.9,1
6727-IOTLZ,0.05,0
0691-JVSYA,0.72,1
5918-VUKWP,0.01,0
1744-JHKYS,0.0,0
2656-FMOKZ,0.84,1
2070-FNEXE,0.78,1
5947-SGKCL,0.26,0
3712-PKXZA,0.01,0
6317-YPKDH,0.75,1
6582-OIVSP,0.06,0
9367-WXLCH,0.81,1
5524-KHNJP,0.04,0
1918-ZBFQJ,0.93,1
1024-GUALD,0.85,1
4827-USJHP,0.06,0
8167-GJLRN,0.06,0
0956-SYCWG,0.01,0
8017-UVSZU,0.03,0
7100-FQPRV,0.01,0
2472-OVKUP,0.84,1
2984-RGEYA,0.0,0
9680-NIAUV,0.0,0
2146-EGVDT,0.0,0
2604-IJPDU,0.17,0
9178-JHUVJ,0.0,0
6168-YBYNP,0.18,0
7255-SSFBC,0.0,0
3645-DEYGF,0.07416666666666667,0
9323-HGFWY,0.13,0
8544-GOQSH,0.17,0
3363-DTIVD,0.04,0
7018-WBJNK,0.23,0
9142-KZXOP,0.09,0
7674-YTAFD,0.05,0
6348-SNFUS,0.0,0
1285-OKIPP,1.0,1
7825-ECJRF,0.82,1
1347-KTTTA,0.06,0
7841-TZDMQ,0.83,1
4195-NZGTA,0.23,0
7157-SMCFK,0.07,0
4709-LKHYG,0.0,0
2504-DSHIH,0.23,0
0699-NDKJM,0.1,0
9286-BHDQG,0.0,0
0230-WEQUW,0.0,0
2040-LDIWQ,0.01,0
6496-JDSSB,0.28,0
9408-SSNVZ,0.84,1
4443-EMBNA,0.0,0
6469-MRVET,0.14,0
0742-MOABM,0.72,1
5961-VUSRV,0.03,0
6778-JFCMK,0.03,0
6341-JVQGF,0.1,0
2232-DMLXU,0.83,1
4811-JBUVU,0.12,0
0945-TSONX,0.0,0
2651-ZCBXV,0.1,0
3316-UWXUY,0.04,0
8937-RDTHP,0.87,1
7083-MIOPC,0.0,0
1984-GPTEH,0.01,0
1251-KRREG,0.86,1
0621-JFHOL,0.15,0
9903-LYSAB,0.15,0
0094-OIFMO,0.85,1
9227-UAQFT,0.0,0
7301-ABVAD,0.0,0
6614-FHDBO,0.02,0
7576-ASEJU,0.12,0
9058-HRZSV,0.04,0
4522-AKYLR,0.08,0
0221-WMXNQ,0.09,0
0303-UNCIP,0.06,0
9947-OTFQU,0.9,1
0322-YINQP,0.74,1
0959-WHOKV,0.06,0
4075-JFPGR,0.05,0
4629-NRXKX,0.84,1
9514-JDSKI,0.89,1
3282-ZISZV,0.03,0
3675-YDUPJ,0.07,0
4111-BNXIF,0.0,0
7017-VFHAY,0.0,0
6655-LHBYW,0.08,0
4959-JOSRX,0.8,1
5046-NUHWD,0.14,0
7273-TEFQD,0.94,1
3606-TWKGI,0.92,1
7529-ZDFXI,0.08,0
7605-BDWDC,0.0,0
1950-KSVVJ,0.04,0
0123-CRBRT,0.0,0
6292-TOSSS,0.01,0
3197-ARFOY,0.12,0
6323-AYBRX,0.67,0
7014-ZZXAW,0.0,0
4385-GZQXV,0.84,1
7633-MVPUY,0.04,0
6366-ZGQGL,0.79,1
4716-HHKQH,0.12,0
5940-AHUHD,0.9233333333333333,1
6432-TWQLB,0.93,1
4484-GLZOU,0.8,1
3179-GBRWV,0.05,0
8645-KWHJO,0.25,0
4130-MZLCC,0.15,0
0314-TKOSI,0.09,0
8229-MYEJZ,0.06,0
2080-SRCDE,0.06,0
9577-WJVCQ,0.01,0
9512-UIBFX,0.82,1
6202-DYYFX,0.05,0
3808-HFKDE,0.09,0
5583-SXDAG,0.89,1
3488-PGMQJ,0.86,1
3580-REOAC,0.79,1
7534-BFESC,0.93,1
3727-OWVYD,0.04,0
2294-SALNE,0.07,0
4847-TAJYI,0.25,0
1563-IWQEX,0.04,0
8203-XJZRC,0.4192460317460317,0
6556-DBKZF,0.09,0
6851-WEFYX,0.3,0
2985-JUUBZ,0.2,0
6390-DSAZX,0.91,1
0895-LMRSF,0.03,0
8098-LLAZX,0.94,1
8266-VBFQL,0.29,0
8181-YHCMF,0.0,0
2240-HSJQD,0.09,0
1248-DYXUB,0.0,0
0265-EDXBD,0.81,1
4115-BNPJY,0.01,0
3167-SNQPL,0.15,0
4091-TVOCN,0.04,0
1098-TDVUQ,0.17,0
7277-OZCGZ,0.1,0
1557-EMYVT,0.12,0
2799-ARNLO,0.19,0
7563-BIUPC,0.89,1
5027-YOCXN,0.08,0
3973-SKMLN,0.0,0
2321-OMBXY,0.71,1
2840-XANRC,0.81,1
6745-JEFZB,0.07,0
5020-ZSTTY,0.57,0
9880-TDQAC,0.03,0
8705-WZCYL,0.15,0
7102-JJVTX,0.01,0
8626-PTQGE,0.0,0
4983-CLMLV,0.1,0
5701-YVSVF,0.26,0
5804-LEPIM,0.88,1
5697-GOMBF,0.12,0
2739-CACDQ,0.13,0
9385-EHGDO,0.03,0
9498-FIMXL,0.03,0
2379-GYFLQ,0.05,0
0122-OAHPZ,0.86,1
2868-SNELZ,0.84,1
4322-RCYMT,0.68,0
6680-NENYN,0.63,0
2088-IEBAU,0.0,0
7982-VCELR,0.1,0
1343-EHPYB,0.69,0
6035-BXTTY,0.05,0
6885-PKOAM,0.0,0
7520-HQWJU,0.02,0
9639-BUJXT,0.0,0
5924-SNGKP,0.0,0
0021-IKXGC,0.32,0
2034-GDRCN,0.99,1
8966-SNIZF,0.0,0
6243-OZGFH,0.13,0
4654-DLAMQ,0.07,0
0513-RBGPE,0.02,0
5160-UXJED,0.06,0
4115-NZRKS,0.13,0
0219-YTZUE,0.94,1
0623-IIHUG,0.74,1
4572-DVCGN,0.9,1
3351-NGXYI,0.15,0
8984-EYLLL,0.06,0
9057-MSWCO,0.73,1
9833-TGFHX,0.14,0
9294-TDIPC,0.0,0
5229-DTFYB,0.05,0
0104-PPXDV,0.04,0
5176-LMJXE,0.0,0
3583-KRKMD,0.06,0
1010-DIAUQ,0.85,1
9069-LGEUL,0.05,0
7302-ZHMHP,0.05166666666666666,0
9571-EDEBV,0.07,0
3520-FJGCV,0.0,0
6563-VRERX,0.0,0
0259-GBZSH,0.93,1
6122-EFVKN,0.02,0
2805-EDJPQ,0.04,0
6862-CQUMB,0.08,0
7156-MXBJE,0.03,0
6158-HDPXZ,0.17,0
9601-BRXPO,0.84,1
2863-IMQDR,0.01,0
5686-CMAWK,0.16,0
5651-CRHKQ,0.08,0
6905-NIQIN,0.77,1
8204-YJCLA,0.01,0
5167-ZFFMM,0.91,1
6583-SZVGP,0.09,0
4895-TMWIR,0.63,0
0533-BNWKF,0.76,1
1708-PBBOA,0.08,0
8782-LKFPK,0.11,0
5522-JBWMO,0.09,0
3597-MVHJT,0.16,0
9774-NRNAU,0.07,0
0224-RLWWD,0.21,0
9967-ATRFS,0.02,0
3951-NJCVI,0.26,0
2977-CEBSX,0.0,0
0177-PXBAT,0.17,0
6599-CEBNN,0.75,1
2519-ERQOJ,0.08,0
5876-QMYLD,0.0,0
2277-AXSDC,0.0,0
9442-JTWDL,0.02,0
0979-PHULV,0.76,1
3067-SVMTC,0.0,0
5495-GPSRW,0.02,0
7606-BPHHN,0.01,0
4742-DRORA,0.03,0
0111-KLBQG,0.17,0
4800-VHZKI,0.8616666666666667,1
7989-CHGTL,0.6816666666666665,0
0334-GDDSO,0.94,1
4163-NCJAK,0.0,0
5233-AOZUF,0.18,0
5973-EJGDP,0.12,0
1996-DBMUS,0.19,0
7916-VCCPB,0.1,0
4686-GEFRM,0.06,0
5249-QYHEX,0.02,0
0578-SKVMF,0.8,1
5564-NEMQO,0.92,1
2233-FAGXV,0.05,0
5605-IYGFG,0.17,0
7663-ZTEGJ,0.11,0
3935-TBRZZ,0.01,0
8111-BKVDS,0.14,0
2055-SIFSS,0.04,0
2806-MLNTI,0.13,0
8734-DKSTZ,0.26,0
4360-PNRQB,0.08,0
6152-ONASV,0.0,0
9063-ZGTUY,0.59,0
7781-HVGMK,0.0,0
2181-UAESM,0.19,0
2957-LOLHO,0.67,0
6048-NJXHX,0.0,0
2320-SLKMB,0.08,0
4980-URKXC,0.01,0
4376-KFVRS,0.0,0
5886-VLQVU,0.07,0
3577-AMVUX,0.23,0
0771-WLCLA,0.3,0
5628-RKIFK,0.13,0
0206-TBWLC,0.02,0
2937-FTHUR,0.09,0
1910-FMXJM,0.17,0
7752-XUSCI,0.74,1
4110-PFEUZ,0.9733333333333333,1
0732-OCQOC,0.01,0
5168-MSWXT,0.35,0
1090-ESELR,0.0,0
8592-PLTMQ,0.02,0
5760-WRAHC,0.14,0
8847-GEOOQ,0.1,0
0256-LTHVJ,0.77,1
4785-FCIFB,0.0,0
8313-NDOIA,0.27,0
5149-CUZUJ,0.02,0
0942-KOWSM,0.01,0
4237-CLSMM,0.03,0
1452-VOQCH,0.41,0
4719-UMSIY,0.0,0
6614-VBEGU,0.07,0
0880-TKATG,0.85,1
3811-VBYBZ,0.93,1
1480-BKXGA,0.0,0
2996-XAUVF,0.01,0
9076-AXYIK,0.02,0
5968-XQIVE,0.18,0
8896-RAZCR,0.0,0
4640-UHDOS,0.73,1
4933-IKULF,0.0,0
3583-EKAPL,0.78,1
1304-BCCFO,0.17,0
4104-PVRPS,0.01,0
9399-APLBT,0.96,1
2359-KMGLI,0.9,1
3780-DDGSE,0.06,0
4431-EDMIQ,0.08,0
0306-JAELE,0.9,1
6227-HWPWX,0.69,0
0486-LGCCH,0.01,0
0447-BEMNG,0.69,0
4612-SSVHJ,0.14,0
5168-MQQCA,0.08,0
5949-XIKAE,0.89,1
7971-HLVXI,0.03,0
9094-AZPHK,0.28,0
3649-JPUGY,0.0,0
4472-LVYGI,0.05,0
8372-JUXUI,0.96,1
3552-CTCYF,0.06,0
6778-YSNIH,0.12,0
0388-EOPEX,0.88,1
5756-OZRIO,0.02,0
6579-JPICP,0.01933333333333333,0
8205-OTCHB,0.72,1
4134-BSXLX,0.01,0
0505-SPOOW,0.0,0
6235-VDHOM,0.83,1
7783-YKGDV,0.88,1
4374-YMUSQ,0.1,0
4513-CXYIX,0.0,0
3957-HHLMR,0.03,0
7803-XOCCZ,0.04,0
5736-YEJAX,0.03,0
5609-CEBID,0.87,1
8981-FJGLA,0.21,0
7218-HKQFK,0.92,1
4636-QRJKY,0.8,1
1135-LMECX,0.12357142857142858,0
4332-MUOEZ,0.1,0
8535-SFUTN,0.07,0
5956-VKDTT,0.85,1
8677-HDZEE,0.1,0
2475-MROZF,0.01,0
9412-GHEEC,0.82,1
3482-ABPKK,0.0,0
6705-LXORM,0.24,0
0257-ZESQC,0.77,1
7531-GQHME,0.01,0
5174-ITUMV,0.18,0
4109-CYRBD,0.09,0
0913-XWSCN,0.07,0
6825-UYPFK,0.73,1
8397-MVTAZ,0.76,1
0750-EBAIU,0.08,0
8606-CIQUL,0.0,0
3571-DPYUH,0.01,0
7601-GNDYK,0.0,0
0356-OBMAC,0.05,0
8067-NIOYM,0.0,0
1403-GYAFU,0.0,0
4234-XTNEA,0.3,0
1297-VQDRP,0.11,0
9282-IZGQK,0.94,1
5348-CAGXB,0.26,0
0621-HJWXJ,0.05,0
5844-QVTAT,0.0,0
8905-IAZPF,0.04,0
5394-MEITZ,0.0,0
6859-QNXIQ,0.0,0
2782-LFZVW,0.08,0
2866-IKBTM,0.050666666666666665,0
1342-JPNKI,0.86,1
2817-NTQDO,0.72,1
7129-AZJDE,0.15,0
6986-IJDHX,0.63,0
2560-PPCHE,0.07,0
4676-MQUEA,0.07,0
8138-EALND,0.04,0
3580-HYCSP,0.02,0
1352-HNSAW,0.0,0
2075-PUEPR,0.02,0
1982-FEBTD,0.02,0
5301-GAUUY,0.75,1
5791-KAJFD,0.03,0
2654-VBVPB,0.11333333333333334,0
1154-HYWWO,0.07,0
2501-XWWTZ,0.23,0
3716-UVSPD,0.16,0
6815-ABQFQ,0.16,0
7343-EOBEU,0.03,0
3701-SFMUH,0.07,0
6103-LIANB,0.05,0
7319-VENRZ,0.03,0
5846-NEQVZ,0.01,0
6967-QIQRV,0.17,0
5781-RFZRP,0.0,0
0939-YAPAF,0.73,1
0308-IVGOK,0.07,0
7293-LSCDV,0.0,0
7025-WCBNE,0.02,0
5756-JYOJT,0.04,0
4710-FDUIZ,0.74,1
6030-REHUX,0.21,0
9548-LIGTA,0.01,0
5150-LJNSR,0.02,0
8270-RKSAP,0.14,0
6522-YRBXD,0.15,0
2640-LYMOV,0.105,0
1218-VKFPE,0.62,0
3627-FHKBK,0.8225,1
2865-TCHJW,0.82,1
1423-BMPBQ,0.12,0
2393-DIVAI,0.08,0
5192-EBGOV,0.95,1
4568-KNYWR,0.0,0
8752-IMQOS,0.0,0
0742-LAFQK,0.02,0
0795-LAFGP,0.0,0
0619-OLYUR,0.01,0
5512-IDZEI,0.05,0
0459-SPZHJ,0.02,0
0215-BQKGS,0.12,0
9244-ZVAPM,0.25,0
0719-SYFRB,0.72,1
8208-EUMTE,0.03,0
5172-MIGPM,0.11,0
1710-RCXUS,0.11,0
0374-FIUCA,0.0,0
5839-SUYVZ,0.14,0
5173-ZXXXL,0.03,0
1096-ADRUX,0.06,0
2001-MCUUW,0.08,0
2731-GJRDG,0.1,0
4723-BEGSG,0.0,0
6516-NKQBO,0.04,0
8672-OAUPW,0.02,0
8207-DMRVL,0.0,0
3419-SNJJD,0.64,0
6543-CPZMK,0.7,0
4765-OXPPD,0.71,1
2804-ETQDK,0.0,0
6689-VRRTK,0.21,0
7138-GIRSH,0.0,0
9396-ZSFLL,0.07,0
6464-KEXXH,0.17,0
7134-MJPDY,0.13,0
5240-CAOYT,0.01,0
4059-IIEBK,0.29,0
4881-JVQOD,0.12,0
0516-UXRMT,0.04,0
4851-BQDNX,0.16,0
5148-HKFIR,0.0,0
1009-IRMNA,0.75,1
3003-CMDUU,0.17,0
5016-IBERQ,0.11,0
6797-UCJHZ,0.14,0
2469-DTSGX,0.03,0
4554-YGZIH,0.73,1
5099-BAILX,0.78,1
9931-KGHOA,0.01,0
1775-KWJKQ,0.0,0
7665-VIGUD,0.01,0
9411-TPQQV,0.01,0
7207-RMRDB,0.77,1
7954-MLBUN,0.01,0
2077-DDHJK,0.02,0
4913-EHYUI,0.64,0
0195-IESCP,0.97,1
9574-BOSMD,0.0,0
4580-TMHJU,0.66,0
0970-ETWGE,0.8,1
4908-XAXAY,0.05,0
8404-VLQFB,0.0,0
1626-ERCMM,0.85,1
0887-HJGAR,0.95,1
2391-IPLOP,0.04,0
5644-PDMZC,0.85,1
3509-GWQGF,0.13,0
9576-ANLXO,0.82,1
2024-BASKD,0.92,1
5845-BZZIB,0.0,0
1140-UKVZG,0.09,0
4160-AMJTL,0.7,0
5183-SNMJQ,0.18,0
8100-PNJMH,0.0,0
7838-LAZFO,0.07,0
4464-JCOLN,0.7,0
2085-JVGAD,0.01,0
5650-VDUDS,0.78,1
8095-WANWK,0.14,0
3030-ZKIWL,0.026666666666666665,0
9565-FLVCG,0.02,0
8755-OGKNA,0.0,0
2800-VEQXM,0.26,0
7538-GWHML,0.82,1
5533-RJFTJ,0.09,0
3859-CVCET,0.75,1
0214-JHPFW,0.0,0
5642-MHDQT,0.03,0
3088-FVYWK,0.0,0
3276-HDUEG,0.91,1
9092-GDZKO,0.05,0
0823-HSCDJ,0.73,1
3729-OWRVL,0.1,0
2324-AALNO,0.0,0
0822-GAVAP,0.95,1
5760-IFJOZ,0.32,0
2826-UWHIS,0.07,0
1448-PWKYE,0.93,1
7501-IWUNG,0.02,0
4957-TREIR,0.06,0
7251-LJBQN,0.07,0
8040-MNRTF,0.6565000000000001,0
1536-HBSWP,0.25,0
5313-FPXWG,0.02,0
0067-DKWBL,0.92,1
0946-FKYTX,0.16,0
5076-YVXCM,0.05,0
8262-COGGB,0.04,0
6663-JOCQO,0.04,0
9620-QJREV,0.01,0
2276-YDAVZ,0.95,1
2682-KEVRP,0.0,0
2480-JZOSN,0.17,0
0078-XZMHT,0.0,0
5896-NPFWW,0.87,1
9978-HYCIN,0.11,0
8338-QIUNR,0.05,0
1525-LNLOJ,0.0,0
9450-TRJUU,0.16,0
1766-GKNMI,0.29,0
6942-LBFDP,0.1,0
1456-TWCGB,0.14,0
7133-VBDCG,0.74,1
7596-ZYWBB,0.01,0
8329-UTMVM,0.11,0
3014-WJKSM,0.12,0
3347-YJZZE,0.03,0
1029-QFBEN,0.3791666666666666,0
7929-DMBCV,0.12,0
9661-JALZV,0.0,0
5433-KYGHE,0.26,0
4312-KFRXN,0.0,0
5575-TPIZQ,0.06,0
0114-IGABW,0.0,0
9944-AEXBM,0.18,0
1853-ARAAQ,0.1,0
6952-OMNWB,0.08,0
4697-LUPSU,0.17,0
8434-VGEQQ,0.0,0
4952-YSOGZ,0.98,1
1589-AGTLK,0.87,1
5244-IRFIH,0.94,1
6549-YMFAW,0.13,0
4950-HKQTE,0.0,0
6786-OBWQR,0.23,0
2684-EIWEO,0.78,1
2753-JMMCV,0.0,0
6439-GTPCA,0.78,1
6621-YOBKI,0.01,0
1216-JWVUX,0.16,0
7564-GHCVB,0.0,0
1173-NOEYG,0.13,0
7595-EHCDL,0.13,0
6647-ZEDXT,0.07,0
2521-NPUZR,0.0,0
1307-TVUFB,0.17,0
7503-MIOGA,0.02,0
4381-MHQDC,0.02,0
6923-JHPMP,0.27,0
5138-WVKYJ,0.85,1
4018-PPNDW,0.0,0
1635-FJFCC,0.12,0
2499-AJYUA,0.0,0
6919-ELBGL,0.0,0
3966-HRMZA,0.215,0
6425-JWTDV,0.0,0
8405-IGQFX,0.07,0
8224-IVVPA,0.02,0
9477-LGWQI,0.0,0
1410-RSCMR,0.06,0
3115-CZMZD,0.01,0
0139-IVFJG,0.15,0
6683-VLCTZ,0.91,1
5730-DBDSI,0.0,0
0030-FNXPP,0.13,0
2189-WWOEW,0.79,1
5684-FJVYR,0.01,0
4013-GUXND,0.12683333333333333,0
1894-IGFSG,0.87,1
7379-POKDZ,0.82,1
1266-NZYUI,0.07,0
7969-FFOWG,0.0,0
4718-DHSMV,0.15,0
5175-WLYXL,0.13,0
7817-OMJNA,0.02,0
8728-SKJLR,0.18,0
3137-NYQQI,0.04,0
7706-DZNKK,0.0,0
0236-HFWSV,0.85,1
3900-AQPHZ,0.3550238095238095,0
5842-POCOP,0.82,1
2037-XJFUP,0.71,1
8823-RLPWL,0.0,0
9505-SQFSW,0.15,0
7314-OXENN,0.87,1
3758-CKOQL,0.04,0
0322-CHQRU,0.91,1
5676-CFLYY,0.02,0
7521-AFHAB,0.2,0
0285-INHLN,0.04,0
4678-DVQEO,0.83,1
5125-CNDSP,0.01,0
0691-IFBQW,0.75,1
4992-LTJNE,0.0,0
2202-OUTMO,0.06,0
0810-BDHAW,0.04,0
0229-LFJAF,0.0,0
7131-ZQZNK,0.0,0
3442-ZHHCC,0.05,0
5726-CVNYA,0.03,0
9871-ELEYA,0.02,0
4257-GAESD,0.15,0
5173-WXOQV,0.17,0
2040-OBMLJ,0.13,0
6286-ZHAOK,0.01,0
3807-XHCJH,0.13,0
3009-JWMPU,0.73,1
5671-RQRLP,0.03,0
1450-GALXR,0.93,1
8859-AXJZP,0.0,0
3174-AKMAS,0.04,0
3138-BKYAV,0.94,1
9926-PJHDQ,0.01,0
7382-DFJTU,0.18,0
2798-NYLMZ,0.1,0
4289-DTDKW,0.89,1
1820-TQVEV,1.0,1
2239-JALAW,0.81,1
4853-RULSV,0.66,0
8098-TDCBU,0.0,0
3551-GAEGL,0.08,0
4785-NKHCX,0.06,0
3196-NVXLZ,0.16,0
6275-YDUVO,0.9,1
0036-IHMOT,0.04,0
0115-TFERT,0.83,1
4178-EGMON,0.0,0
4220-TINQT,0.12,0
5318-YKDPV,0.01,0
7975-TZMLR,0.19,0
0295-QVKPB,0.12,0
4335-BSMJS,0.0,0
2311-QYMUQ,0.76,1
3643-AHCFP,0.9,1
9146-JRIOX,0.04,0
3104-OWCGK,0.74,1
5337-IIWKZ,0.05,0
9101-BWFSS,0.71,1
9650-VBUOG,0.0,0
3487-EARAT,0.04,0
2672-TGEFF,0.08,0
9231-ZJYAM,0.9,1
4250-WAROZ,0.06,0
8184-WMOFI,0.08,0
6982-SSHFK,0.63,0
6092-QZVPP,0.03,0
4625-LAMOB,0.0,0
0727-BMPLR,0.73,1
0392-BZIUW,0.03,0
1038-ZAGBI,0.67,0
6549-NNDYT,0.12,0
3027-ZTDHO,0.91,1
0422-OHQHQ,0.0,0
6916-HIJSE,0.01,0
2316-ESMLS,0.05,0
9778-OGKQZ,0.0,0
7408-OFWXJ,0.01,0
6007-TCTST,0.0,0
2252-NKNSI,0.01,0
8713-IGZSO,0.04,0
7905-TVXTA,0.09,0
7695-PKLCZ,0.0,0
2382-BCKQJ,0.67,0
8374-UULRV,0.0,0
2207-NHRJK,0.91,1
3224-DFQNQ,0.03,0
5275-PMFUT,0.0,0
4795-UXVCJ,0.0,0
9777-IQHWP,0.02,0
0947-MUGVO,0.85,1
9944-HKVVB,0.91,1
4124-MMETB,0.8,1
3671-SHRSP,0.9,1
0979-MOZQI,0.05,0
2732-ISEZX,0.01,0
3313-QKNKB,0.73,1
0323-XWWTN,0.02,0
1937-OTUKY,0.01,0
1573-LGXBA,0.06,0
1764-VUUMT,0.0,0
5073-WXOYN,0.67,0
4713-ZBURT,0.06,0
3050-GBUSH,0.32,0
0207-MDKNV,0.84,1
7876-AEHIG,0.04,0
7945-HLKEA,0.03,0
9342-VNIMQ,0.05,0
9851-KIELU,0.81,1
3523-BRGUW,0.0,0
3908-BLSYF,0.81,1
3199-NPKCN,0.09,0
5170-PTRKA,0.01,0
4661-NJEUX,0.29,0
2123-AGEEN,0.19,0
1258-YMZNM,0.11,0
0048-LUMLS,0.06,0
7549-MYGPK,0.72,1
5898-IGSLP,0.08,0
3804-RVTGV,0.8,1
6259-WJQLC,0.22,0
9227-LUNBG,0.74,1
7997-EASSD,0.03,0
0730-KOAVE,0.17,0
8975-SKGRX,0.02,0
0678-RLHVP,0.05,0
4315-MURBD,0.89,1
2267-FPIMA,0.05,0
1051-GEJLJ,0.25,0
9734-YWGEX,0.91,1
2719-BDAQO,0.82,1
5285-MVEHD,0.15,0
0379-DJQHR,0.01,0
0781-LKXBR,0.94,1
5543-QDCRY,0.08,0
0297-RBCSG,0.13,0
4694-PHWFW,0.01,0
0835-JKADZ,0.01,0
1907-UBQFC,0.81,1
7508-SMHXL,0.27,0
3865-YIOTT,0.06,0
5993-BQHEA,0.0,0
6024-RUGGH,0.0,0
6513-EECDB,0.92,1
3956-CJUST,0.19,0
4079-WWQQQ,0.0,0
6103-BOCOU,0.25,0
5149-TGWDZ,0.1,0
7471-WNSUF,0.02,0
